0.93743 	0.92394 	0.98682 	0.95435 
0.93858 	0.92572 	0.98829 	0.95513 
0.93588 	0.92202 	0.98546 	0.95338 
0.96400 	0.95702 	0.99023 	0.97334 
0.96468 	0.95850 	0.99094 	0.97377 
0.96366 	0.95616 	0.98954 	0.97309 
0.97197 	0.96717 	0.99149 	0.97918 
0.97314 	0.96895 	0.99214 	0.98015 
0.97064 	0.96558 	0.99109 	0.97817 
0.97549 	0.97112 	0.99256 	0.98172 
0.97676 	0.97218 	0.99339 	0.98267 
0.97462 	0.96990 	0.99192 	0.98114 
0.97787 	0.97414 	0.99294 	0.98345 
0.97880 	0.97519 	0.99358 	0.98426 
0.97716 	0.97264 	0.99144 	0.98288 
0.97798 	0.97355 	0.99373 	0.98354 
0.97956 	0.97625 	0.99483 	0.98475 
0.97701 	0.97221 	0.99301 	0.98285 
