0.96443 	0.95618 	0.99193 	0.97372 
0.96544 	0.95768 	0.99277 	0.97435 
0.96325 	0.95376 	0.99128 	0.97280 
0.96437 	0.95656 	0.99116 	0.97355 
0.96666 	0.95944 	0.99167 	0.97517 
0.96259 	0.95418 	0.99025 	0.97233 
0.96454 	0.95609 	0.99206 	0.97374 
0.96498 	0.95703 	0.99257 	0.97423 
0.96407 	0.95496 	0.99148 	0.97317 
0.96309 	0.95424 	0.98458 	0.97277 
0.96483 	0.95638 	0.99300 	0.97406 
0.96187 	0.95288 	0.95481 	0.97188 
0.95693 	0.94271 	0.99533 	0.96830 
0.95846 	0.94482 	0.99597 	0.96952 
0.95469 	0.94058 	0.99438 	0.96673 
